AppointmentID,AppointmentDateTime,PatientID,NHS_ID,PatientFirstName,PatientLastName,PatientDOB,PatientPostcode,ClinicName,Specialty,ProviderID,ProviderName,DiagnosisCode,DiagnosisDescription,AppointmentStatus
A1001,12/07/2025 07:58,P537,7695140767,Michael,Hendrick,22/02/1948,NP20 9WE,Royal Glamorgan,Gastroenterology,D88,Dr. Davies,S82.1,Fracture of upper end of tibia,Attended
A1002,12/07/2025 07:58,P531,3900866457,Eugene,Rhodes,11/05/1965,CF30 6NZ,Singleton Hospital,Oncology,D21,Dr. Evans,K21.9,Gastro-oesophageal reflux disease,DNA
A1003,12/07/2025 07:58,P531,3900866457,Eugene,Rhodes,11/05/1965,CF30 6NZ,Royal Glamorgan,Dermatology,D67,Dr. Williams,L20.9,"Atopic dermatitis, unspecified",Attended
A1004,12/07/2025 07:59,P570,2367876150,Denise,Shaw,14/09/1974,NP23 1OE,University Hospital,Cardiology,D12,Dr. Thomas,M54.5,Low back pain,DNA
A1005,12/07/2025 07:59,P628,6755009776,Mitchell,Cantrell,24/09/2010,CF32 5RW,Royal Glamorgan,Dermatology,D33,Dr. Roberts,I10,Essential hypertension,Attended
A1006,12/07/2025 07:59,P520,9467217090,Nina,Chapman,09/03/1957,CF34 6OI,University Hospital,Cardiology,D45,Dr. Jones,K21.9,Gastro-oesophageal reflux disease,Attended
A1007,12/07/2025 07:59,P523,7931708075,Kenneth,Valenti,28/12/2009,NP40 6OR,Royal Glamorgan,Dermatology,D67,Dr. Williams,I10,Essential hypertension,Attended
A1008,12/07/2025 07:59,P644,8481114871,Donna,Bayas,11/12/1987,SA33 8KP,Morriston Hospital,Neurology,D21,Dr. Evans,K21.9,Gastro-oesophageal reflux disease,Attended
A1009,12/07/2025 07:59,P558,2310987972,Marc,Williams,15/05/1997,SA40 7PT,University Hospital,Cardiology,D88,Dr. Davies,E11.9,Type 2 diabetes mellitus without complications,Attended
A1010,12/07/2025 07:59,P610,2940214026,Shaun,Charles,13/01/1943,SA16 1LE,Singleton Hospital,Oncology,D33,Dr. Roberts,M54.5,Low back pain,Attended
A1011,12/07/2025 07:59,P519,6076995270,Enriqueta,Green,23/01/1957,LL37 1NX,Prince Charles,Orthopaedics,D45,Dr. Jones,J45.9,"Asthma, unspecified",DNA
A1012,12/07/2025 07:59,P518,2369184264,Mark,Scott,23/09/1990,CF38 6NR,University Hospital,Cardiology,D21,Dr. Evans,M54.5,Low back pain,DNA
A1013,12/07/2025 07:59,P633,4742966511,Edward,Sanchez,23/12/1980,CF38 4VY,University Hospital,Cardiology,D12,Dr. Thomas,L20.9,"Atopic dermatitis, unspecified",DNA
A1014,12/07/2025 07:59,P604,6100855690,Elizabeth,Mcclain,06/06/1954,NP40 4BS,Singleton Hospital,Oncology,D21,Dr. Evans,S82.1,Fracture of upper end of tibia,Attended
A1015,12/07/2025 07:59,P510,9700713903,Jerry,Stivers,02/07/1977,SA15 6AP,Prince Charles,Orthopaedics,D67,Dr. Williams,E11.9,Type 2 diabetes mellitus without complications,Attended
A1016,12/07/2025 08:00,P600,5642730460,Jacquelyn,Garcia,19/11/1970,SA28 6EE,Royal Glamorgan,Dermatology,D12,Dr. Thomas,I10,Essential hypertension,Attended
A1017,12/07/2025 08:00,P646,824745507,Billy,Freedman,02/11/2003,SA16 2EA,Royal Glamorgan,Gastroenterology,D67,Dr. Williams,S82.1,Fracture of upper end of tibia,Attended
A1018,12/07/2025 08:00,P603,1707421625,Lorenzo,Jones,17/09/1982,NP11 6HY,Prince Charles,Orthopaedics,D12,Dr. Thomas,L20.9,"Atopic dermatitis, unspecified",Attended
A1019,12/07/2025 08:00,P537,7695140767,Michael,Hendrick,22/02/1948,NP20 9WE,Royal Glamorgan,Gastroenterology,D12,Dr. Thomas,E11.9,Type 2 diabetes mellitus without complications,DNA
